2022-02-26 10:59:30 UTC - DEBUG:BOOM!!
2022-02-26 10:59:49 UTC - DEBUG:BOOM!!
2022-02-26 10:59:56 UTC - DEBUG:BOOM!!
2022-02-26 11:00:11 - DEBUG:BOOM!!
2022-02-26 20:00:19 - DEBUG:BOOM!!
2022-02-26 20:00:41 - DEBUG:BOOM!!
2022-02-26 20:00:46 - DEBUG:BOOM!!
2022-02-26 20:01:13 - DEBUG:BOOM!!
2022-02-26 20:01:25 - DEBUG:BOOM!!
2022-02-26 20:01:40 - DEBUG:BOOM!!
2022-02-26 20:01:49 - DEBUG:BOOM!!
2022-02-26 20:01:57 - DEBUG:BOOM!!
2022-02-26 20:02:18 - DEBUG:BOOM!!
2022-02-26 20:02:35 - DEBUG:BOOM!!
[2022-02-26 20:02:52] DEBUG:BOOM!!
[2022-02-26 20:03:13] DEBUG:BOOM!!
[2022-02-26 20:03:19] DEBUG:BOOM!!
[2022-02-26 20:04:07] DEBUG:BOOM!!
[2022-03-09 01:31:35] INFO:0.023498357018473238
[2022-03-09 01:32:32] INFO:(0.0001, 0.0076295013729486645, 0.00699802262564536, 0.006816957212993935, 0.006723374407622648, 0.006636467101911467, 0.009293523717979112, 0.023498357018473238, 9.949854634180577e-15)
[2022-03-09 01:33:12] INFO:0.0001 0.0076295013729486645 0.00699802262564536 0.006816957212993935 0.006723374407622648 0.006636467101911467 0.009293523717979112 0.023498357018473238 9.949854634180577e-15
[2022-03-09 01:34:00] INFO:0.0001, 0.0076295013729486645, 0.00699802262564536, 0.006816957212993935, 0.006723374407622648, 0.006636467101911467, 0.009293523717979112, 0.023498357018473238, 9.949854634180577e-15
[2022-03-09 01:46:42] INFO:0.0001, 0.007313688814602748, 0.006728774861674196, 0.006567816221901449, 0.00647208726513973, 0.006354174145067406, 0.008925739051965148, 0.024166795350101026, 9.918180197610385e-15, 0.0025, 1e-14
[2022-03-09 01:51:00] INFO:0.0001, 0.007313688814602748, 0.006728774861674196, 0.006567816221901449, 0.00647208726513973, 0.006354174145067406, 0.008925739051965148, 0.024166795350101026, 9.918180197610385e-15, 0.0025, 1e-14
[2022-03-09 01:51:01] INFO:0.0001, 0.00739134430997431, 0.006874808984178565, 0.006738571039378615, 0.006135010202355707, 0.006697843843058094, 0.008068736602278526, 0.01598389363509993, 9.983345497637086e-15, 0.0025, 1e-14
[2022-03-09 01:51:48] INFO:"202112", 0.0001, 0.007313688814602748, 0.006728774861674196, 0.006567816221901449, 0.00647208726513973, 0.006354174145067406, 0.008925739051965148, 0.024166795350101026, 9.918180197610385e-15, 0.0025, 1e-14
[2022-03-09 01:51:49] INFO:"202111", 0.0001, 0.00739134430997431, 0.006874808984178565, 0.006738571039378615, 0.006135010202355707, 0.006697843843058094, 0.008068736602278526, 0.01598389363509993, 9.983345497637086e-15, 0.0025, 1e-14
[2022-03-09 01:56:31] INFO:"202101", 0.0001, 0.005664124333610509, 0.005979926504978125, 0.0070507432524373175, 0.005941117209371404, 0.007146613205218369, 0.007824617755547776, 0.045526511543133315, 9.911001939514619e-15, 0.0025, 1e-14
[2022-03-09 01:56:31] INFO:"202112", 0.0001, 0.007313688814602748, 0.006728774861674196, 0.006567816221901449, 0.00647208726513973, 0.006354174145067406, 0.008925739051965148, 0.024166795350101026, 9.918180197610385e-15, 0.0025, 1e-14
[2022-03-09 01:56:32] INFO:"202102", 0.0001, 0.005729020272409344, 0.006313301426224248, 0.006683379342308218, 0.0065417587433229205, 0.006476104686144746, 0.006531522761128794, 0.06016480982209074, 9.98981134230502e-15, 0.0025, 1e-14
[2022-03-09 01:56:34] INFO:"202111", 0.0001, 0.00739134430997431, 0.006874808984178565, 0.006738571039378615, 0.006135010202355707, 0.006697843843058094, 0.008068736602278526, 0.01598389363509993, 9.983345497637086e-15, 0.0025, 1e-14
[2022-03-09 01:56:48] INFO:"202103", 0.0001, 0.006349972125140809, 0.00610437426752961, 0.006641644063361315, 0.005794243210218159, 0.006423249590641439, 0.0054626305857676275, 0.04000154769898842, 9.851073098017095e-15, 0.0025, 1e-14
[2022-03-09 01:56:51] INFO:"202104", 0.0001, 0.006262186445776556, 0.006219042556493458, 0.006669765942666664, 0.005910996423924302, 0.0060419307299229745, 0.006171548581619296, 0.027246677845149524, 9.69010225184649e-15, 0.0025, 1e-14
[2022-03-09 01:56:52] INFO:"202107", 0.0001, 0.005784135553110158, 0.005930165091647692, 0.005769618765190707, 0.005819754671487637, 0.0052377836126481, 0.006481015329175942, 0.010793034294496965, 9.982929987191179e-15, 0.0025, 1e-14
[2022-03-09 01:57:06] INFO:"202110", 0.0001, 0.007142556901594562, 0.006391196000972006, 0.005878777864062781, 0.005303516100399511, 0.005192763206645465, 0.00535883703708937, 0.006327568556399711, 9.973015446341991e-15, 0.0025, 1e-14
[2022-03-09 01:57:12] INFO:"202106", 0.0001, 0.005783419635982609, 0.005960578682750266, 0.006254451711593696, 0.0058817024371715584, 0.005400187932049426, 0.005648012909679547, 0.008245027294134013, 9.981878826398231e-15, 0.0025, 1e-14
[2022-03-09 01:57:14] INFO:"202108", 0.0001, 0.005488748602861073, 0.005702642486416842, 0.005597021486496806, 0.0054974157772269975, 0.005276105678767128, 0.005801779062927889, 0.013232184075384422, 9.998734862320288e-15, 0.0025, 1e-14
[2022-03-09 01:57:54] INFO:"202105", 0.0001, 0.005858475053775986, 0.006033953124736537, 0.006254209962924445, 0.005561315601599489, 0.006336420573087626, 0.004337670610100872, 0.021262994935112044, 9.987463158559443e-15, 0.0025, 1e-14
